latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,14975;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14965;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
8,14965;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14955;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
8,14955;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48525;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48515;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48505;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48495;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48485;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48475;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48465;2024-09-23;nominal;2024-09-19;2024-10-03
8,14945;-76,48455;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48545;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48535;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48525;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48515;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48505;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48495;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48485;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48475;2024-09-23;nominal;2024-09-19;2024-10-03
8,14935;-76,48465;2024-09-23;nominal;2024-09-19;2024-10-03
